survey version standard standard_catagory shift ATLAS-c0 ATLAS-o0 ATLAS-c1 ATLAS-o1 ATLAS-c2 ATLAS-o2 ATLAS-c3 ATLAS-o3 ATLAS-c4 ATLAS-o4 ATLAS-c5 ATLAS-o5 ATLAS-c6 ATLAS-o6 ATLAS-c7 ATLAS-o7 ATLAS-c8 ATLAS-o8 
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd078316_v2.fits stis_ngsl_v2 0 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396487 5.512333788792375 5.191026388396491 5.512333788792375
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd063700_v2.fits stis_ngsl_v2 0 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311 3.3871492854237744 2.824740729819311
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd167278_v2.fits stis_ngsl_v2 0 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823 8.285142454285538 8.192030822175823
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd172506_v2.fits stis_ngsl_v2 0 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844 8.071517437751378 8.072393347535844
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd008491_v2.fits stis_ngsl_v2 0 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186 4.781394931468956 4.284354218789186
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd028978_v2.fits stis_ngsl_v2 0 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726 5.751175200917 5.971507989904726
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd046703_v2.fits stis_ngsl_v2 0 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885 9.085282600896363 8.83628625679885
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd064412_v2.fits stis_ngsl_v2 0 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151 8.778281307198608 8.533843830358151
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd221377_v2.fits stis_ngsl_v2 0 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627 7.556056022086757 7.433497716204627
ATLAS ATLAS spectra/stis_ngsl_v2/h_stis_ngsl_hd087737_v2.fits stis_ngsl_v2 0 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343 3.4353154947638167 3.6663283029135343
